model, url
math_vision, https://drive.google.com/file/d/1u6BTxlCiS0XiHLW9QY0MCDEjmsmpjOFV/view
tuned_math_vison, https://drive.google.com/file/d/1b8WcXg93NnyNutt1khhZNF16oABGxKPU/view
